"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate","march_temperature","april_temperature","may_temperature","june_temperature","july_temperature","august_temperature","sept_temperature"
"42","https://neherbaria.org/portal/collections/individual/index.php?occid=702339",42.89051,-71.93935,1908-05-28,"Y","Y",NA,NA,NA,"Online Herbarium",5,28,1908,149,0.300000011920929,6.09999990463257,14,19,21.8000011444092,19.1000003814697,16.3999996185303
"43","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968889",40.715341,-78.518077,1908-07-24,NA,NA,"Y","Y",NA,"Online Herbarium",7,24,1908,206,3.40000009536743,8.60000038146973,15.1000003814697,19.7000007629395,22.2000007629395,19.6000003814697,17.1000003814697
"44","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326033",40.926989,-75.215362,1908-06-29,NA,NA,"Y","Y",NA,"Online Herbarium",6,29,1908,181,3.60000014305115,8.90000057220459,15.5,20.1000003814697,23.1000003814697,20,17.3999996185303
"45","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968982",41.094913,-78.219083,1908-07-13,NA,NA,"Y","Y",NA,"Online Herbarium",7,13,1908,195,0.900000035762787,7.09999990463257,13.6999998092651,18.3999996185303,21.1000003814697,18.3999996185303,16
"46","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968983",41.094913,-78.219083,1908-07-13,NA,NA,"Y","Y",NA,"Online Herbarium",7,13,1908,195,0.900000035762787,7.09999990463257,13.6999998092651,18.3999996185303,21.1000003814697,18.3999996185303,16
"47","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968910",41.215886,-76.931213,1908-07-16,NA,NA,"Y","Y",NA,"Online Herbarium",7,16,1908,198,2,7.5,14.8000001907349,19.3999996185303,21.8999996185303,19.3000011444092,17.3999996185303
"48","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968918",41.215886,-76.931213,1908-07-16,NA,NA,"Y","Y",NA,"Online Herbarium",7,16,1908,198,2,7.5,14.8000001907349,19.3999996185303,21.8999996185303,19.3000011444092,17.3999996185303
"49","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968927",41.34037,-77.637456,1908-07-14,NA,NA,"Y","Y",NA,"Online Herbarium",7,14,1908,196,1.80000007152557,7.40000009536743,13.9000005722046,18.6000003814697,21.3000011444092,18.3999996185303,16.1000003814697
"50","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968926",41.404187,-77.644151,1908-07-14,NA,NA,"Y","Y",NA,"Online Herbarium",7,14,1908,196,1.80000007152557,7.40000009536743,13.9000005722046,18.6000003814697,21.3000011444092,18.3999996185303,16.1000003814697
"51","https://neherbaria.org/portal/collections/individual/index.php?occid=702342",42.89051,-71.93935,1908-07-26,NA,NA,"Y","Y",NA,"Online Herbarium",7,26,1908,208,0.300000011920929,6.09999990463257,14,19,21.8000011444092,19.1000003814697,16.3999996185303
