"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate"
"59","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968867",40.564531,-80.113379,1945-04-28,"Y","Y",NA,NA,NA,"Online Herbarium",4,28,1945,118
"60","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14417278",40.594234,-79.970055,1928-05-13,"Y","Y",NA,NA,NA,"Online Herbarium",5,13,1928,134
"61","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968872",40.59668,-79.97008,1928-05-13,"Y","Y",NA,NA,NA,"Online Herbarium",5,13,1928,134
"62","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19931107",40.610582,-74.165217,1925-05-16,"Y","Y",NA,NA,NA,"Online Herbarium",5,16,1925,136
"63","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968861",40.64677,-78.19506,1904-05-17,"Y","Y",NA,NA,NA,"Online Herbarium",5,17,1904,138
"64","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12008085",40.649633,-78.80336,1953-05-02,"Y","Y",NA,NA,NA,"Online Herbarium",5,2,1953,122
"65","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326045",40.656344,-75.62233,1911-05-14,"Y","Y",NA,NA,NA,"Online Herbarium",5,14,1911,134
"66","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326101",40.699009,-75.858669,1937-05-21,"Y","Y",NA,NA,NA,"Online Herbarium",5,21,1937,141
"67","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757264",40.699466,-75.861587,1937-05-21,"Y","Y",NA,NA,NA,"Online Herbarium",5,21,1937,141
"68","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968843",40.70771,-79.714539,1935-05-25,"Y","Y",NA,NA,NA,"Online Herbarium",5,25,1935,145
"69","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968844",40.72451,-79.924223,1913-04-20,"Y","Y",NA,NA,NA,"Online Herbarium",4,20,1913,110
"70","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858926",40.72955,-77.76267,1937-05-18,"Y","Y",NA,NA,NA,"Online Herbarium",5,18,1937,138
"71","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17000115",40.748706,-75.7338,1910-04-30,"Y","Y",NA,NA,NA,"Online Herbarium",4,30,1910,120
"72","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326043",40.748706,-75.7338,1915-07-25,"Y","Y","Y","Y",NA,"Online Herbarium",7,25,1915,206
"73","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12010900",40.76222,-77.96972,1996-05-17,"Y","Y",NA,NA,NA,"Online Herbarium",5,17,1996,138
"74","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326037",40.768511,-75.622834,1927-05-08,"Y","Y",NA,NA,NA,"Online Herbarium",5,8,1927,128
"75","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968851",40.794318,-77.860107,1922-04-29,"Y","Y",NA,NA,NA,"Online Herbarium",4,29,1922,119
"76","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858913",40.799783,-77.946115,1940-06-01,"Y","Y","Y",NA,NA,"Online Herbarium",6,1,1940,153
"77","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757297",40.815039,-76.242029,1937-05-08,"Y","Y",NA,NA,NA,"Online Herbarium",5,8,1937,128
"78","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4892393",40.834722,-73.356389,2011-04-30,"Y","Y",NA,NA,NA,"Online Herbarium",4,30,2011,120
"79","https://sernecportal.org/portal/collections/individual/index.php?occid=16572670",40.856867,-72.8477,2002-04-30,"Y","Y",NA,NA,NA,"Online Herbarium",4,30,2002,120
"80","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858934",40.866301,-78.443279,1950-05-18,"Y","Y",NA,NA,NA,"Online Herbarium",5,18,1950,138
