"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate"
"52","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009755",39.78456,-79.17758,1994-05-21,"Y","Y","NA","NA","NA","Online Herbarium",5,21,1994,141
"53","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011127",39.787583,-79.171665,1990-05-20,"Y","Y","NA","NA","NA","Online Herbarium",5,20,1990,140
"54","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011140",39.794185,-79.150503,1985-06-21,"NA","NA","Y","Y","NA","Online Herbarium",6,21,1985,172
"55","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329683",39.794185,-79.150503,1985-06-21,"NA","NA","Y","Y","NA","Online Herbarium",6,21,1985,172
"56","https://sernecportal.org/portal/collections/individual/index.php?occid=20578923",39.794185,-79.150503,1985-06-21,"NA","NA","Y","Y","NA","Online Herbarium",6,21,1985,172
"57","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11994361",39.794185,-79.150503,1985-06-21,"NA","NA","Y","Y","NA","Online Herbarium",6,21,1985,172
"58","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19920773",39.794722,-79.165278,2005-06-05,"NA","NA","Y","NA","NA","Online Herbarium",6,5,2005,156
"59","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329692",39.811503,-74.982944,1907-04-27,"Y","Y","NA","NA","NA","Online Herbarium",4,27,1907,117
"60","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968922",39.829965,-78.533703,1963-07-02,"NA","NA","Y","Y","NA","Online Herbarium",7,2,1963,183
"61","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12010734",39.833333,-78.683333,1996-05-05,"Y","Y","NA","NA","NA","Online Herbarium",5,5,1996,126
"62","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011605",39.834848,-78.540811,1992-09-24,"Y","NA","NA","NA","NA","Online Herbarium",9,24,1992,268
"63","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968842",39.848166,-78.957802,1946-04-22,"Y","Y","NA","NA","NA","Online Herbarium",4,22,1946,112
"64","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757282",39.852315,-77.524434,1935-04-20,"NA","NA","NA","NA","Y","Online Herbarium",4,20,1935,110
