"","reference","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate","march_temperature","april_temperature","may_temperature","june_temperature","july_temperature","august_temperature","sept_temperature","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NA_L2KEY","NA_L1KEY","Shape_Leng","Shape_Area","decimalLongitude","decimalLatitude","date"
"24","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968932","1904-06-22",NA,NA,NA,"Y",NA,"Online Herbarium",6,22,1904,174,1.20000004768372,5.59999990463257,15,18.8999996185303,20.5,19,16.5,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-78.306955,40.519344,1900-06-22
"25","http://collections.peabody.yale.edu/search/Record/YU.058767","1905-05-21","Y","Y",NA,NA,NA,"Online Herbarium",5,21,1905,141,-0.100000001490116,6,12.9000005722046,17.3000011444092,20.8999996185303,18.8000011444092,15.3000001907349,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9752633.62823,160748671110,-73.1931,41.7413,1900-05-21
"26","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14417025","1905-05-14","Y","Y",NA,NA,NA,"Online Herbarium",5,14,1905,134,0.699999988079071,6.90000009536743,13.1000003814697,17.6000003814697,21.8000011444092,19.2000007629395,15.8000001907349,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9752633.62823,160748671110,-71.151934,42.488377,1900-05-14
"27","https://neherbaria.org/portal/collections/individual/index.php?occid=702235","1905-05-27","Y","Y",NA,NA,NA,"Online Herbarium",5,27,1905,147,-1.10000002384186,5.5,11.3000001907349,15.9000005722046,20.3999996185303,18.3999996185303,14.6000003814697,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9752633.62823,160748671110,-70.23752,43.58636,1900-05-27
"28","http://portal.neherbaria.org/portal/collections/individual/index.php?occid=92889","1905-05-21",NA,"Y",NA,NA,NA,"Online Herbarium",5,21,1905,141,-0.100000001490116,6,12.9000005722046,17.3000011444092,20.8999996185303,18.8000011444092,15.3000001907349,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9752633.62823,160748671110,-73.1931,41.7413,1900-05-21
"29","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968887","1905-06-06",NA,NA,"Y","Y",NA,"Online Herbarium",6,6,1905,157,4.7000002861023,9.80000019073486,16.3000011444092,20.2000007629395,22.8999996185303,21.2000007629395,18.1000003814697,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-77.954522,39.93336,1900-06-06
"30","https://neherbaria.org/portal/collections/individual/index.php?occid=702245","1905-07-23",NA,NA,NA,"Y",NA,"Online Herbarium",7,23,1905,204,-1.70000004768372,5,11.1999998092651,15.6999998092651,19.8999996185303,17.8000011444092,14,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",4392637.73784,160162093148,-70.91673,43.93298,1900-07-23
"31","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14417289","1906-04-29","Y","Y",NA,NA,NA,"Online Herbarium",4,29,1906,119,0.800000011920929,10.1999998092651,15.6999998092651,21.3999996185303,23,23.6000003814697,20,"8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",5475122.67071,26026341919.2,-74.291389,40.477101,1900-04-29
"32","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329661","1906-06-17",NA,NA,"Y","Y",NA,"Online Herbarium",6,17,1906,168,-2.70000004768372,7.80000019073486,13.9000005722046,18.7000007629395,20.3000011444092,20.8000011444092,17.8000011444092,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",466309.632614,4854004413.29,-75.514241,41.101529,1900-06-17
"33","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326023","1906-06-20",NA,NA,"Y","Y",NA,"Online Herbarium",6,20,1906,171,-2.29999995231628,7.80000019073486,13.9000005722046,18.6000003814697,20.1000003814697,20.5,17.1000003814697,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",466309.632614,4854004413.29,-75.28046,41.15398,1900-06-20
